test_nb,time,error_nb,method,W,D,Fitts
17,0.703,0,Direct touch,40,16.0312195418814,0.4862308937438483
22,0.677,0,Direct touch,60,9.16515138991168,0.20508282354982305
8,0.664,0,Direct touch,25,17.26267650163207,0.7574560413717237
14,0.878,0,Direct touch,40,10.099504938362077,0.324796347402544
7,0.84,0,Direct touch,25,8.426149773176359,0.4190490912661385
13,0.709,0,Direct touch,40,10.583005244258363,0.33865275313777676
9,0.935,0,Direct touch,25,17.944358444926362,0.7805405235983087
11,0.781,0,Direct touch,40,15.264337522473747,0.4663487991497137
25,0.806,0,Direct touch,60,9.219544457292887,0.20621694625219808
24,1.115,0,Direct touch,60,16.61324772583615,0.35263137936433236
26,0.631,0,Direct touch,60,16.941074346097416,0.35879147374006404
1,1.135,0,Direct touch,25,12.449899597988733,0.5830337559814993
18,0.958,0,Direct touch,40,18.138357147217054,0.5394903048926267
23,1,0,Direct touch,60,9.695359714832659,0.21610010459416049
20,0.749,0,Direct touch,60,15.968719422671311,0.34044300173710923
27,0.867,0,Direct touch,60,19.261360284258224,0.40165522634393114
4,1.007,0,Direct touch,25,10.583005244258363,0.5092602669794973
3,0.87,0,Direct touch,25,22.40535650240808,0.9231219887688349
6,1.418,0,Direct touch,25,21.400934559032695,0.8922257680108284
21,1.025,0,Direct touch,60,21.587033144922902,0.4433773781418883
19,1.086,0,Direct touch,60,12.328828005937952,0.2696082741435354
12,0.79,0,Direct touch,40,21.307275752662516,0.6160582985392749
10,1.017,0,Direct touch,40,12.328828005937952,0.3876059476788723
2,0.88,0,Direct touch,25,4.358898943540674,0.23186976844090082
5,0.948,0,Direct touch,25,12.922847983320086,0.6011392189565474
16,0.944,0,Direct touch,40,9.746794344808963,0.31460356220195695
15,1.166,0,Direct touch,40,17.663521732655695,0.5276589504485495
