test_nb,time,error_nb,method,W,D,Fitts
2,1.075,0,Direct touch,25,4.358898943540674,0.23186976844090082
8,3.516,0,Direct touch,25,17.26267650163207,0.7574560413717237
21,1.489,0,Direct touch,60,21.587033144922902,0.4433773781418883
19,3.126,0,Direct touch,60,12.328828005937952,0.2696082741435354
1,2.295,0,Direct touch,25,12.449899597988733,0.5830337559814993
9,1.279,0,Direct touch,25,17.944358444926362,0.7805405235983087
15,1.078,0,Direct touch,40,17.663521732655695,0.5276589504485495
16,0.896,0,Direct touch,40,9.746794344808963,0.31460356220195695
3,1.761,0,Direct touch,25,22.40535650240808,0.9231219887688349
20,0.887,0,Direct touch,60,15.968719422671311,0.34044300173710923
25,0.97,0,Direct touch,60,9.219544457292887,0.20621694625219808
13,0.744,0,Direct touch,40,10.583005244258363,0.33865275313777676
7,0.869,0,Direct touch,25,8.426149773176359,0.4190490912661385
11,0.909,0,Direct touch,40,15.264337522473747,0.4663487991497137
14,0.863,0,Direct touch,40,10.099504938362077,0.324796347402544
4,1.122,0,Direct touch,25,10.583005244258363,0.5092602669794973
10,1.262,0,Direct touch,40,12.328828005937952,0.3876059476788723
6,1.06,0,Direct touch,25,21.400934559032695,0.8922257680108284
18,1.098,0,Direct touch,40,18.138357147217054,0.5394903048926267
5,1.659,0,Direct touch,25,12.922847983320086,0.6011392189565474
23,0.786,0,Direct touch,60,9.695359714832659,0.21610010459416049
24,1.048,0,Direct touch,60,16.61324772583615,0.35263137936433236
12,2.343,0,Direct touch,40,21.307275752662516,0.6160582985392749
22,0.778,0,Direct touch,60,9.16515138991168,0.20508282354982305
27,2.107,0,Direct touch,60,19.261360284258224,0.40165522634393114
17,0.837,0,Direct touch,40,16.0312195418814,0.4862308937438483
26,1.218,0,Direct touch,60,16.941074346097416,0.35879147374006404
