test_nb,time,error_nb,method,W,D,Fitts
23,3.777,0,Direct touch,60,9.695359714832659,0.21610010459416049
14,2.349,0,Mouse,40,10.099504938362077,0.324796347402544
4,2.471,0,Mouse,25,20.346989949375804,0.859078695574669
17,2.603,0,Mouse,40,16.0312195418814,0.4862308937438483
20,1.701,0,Mouse,60,15.968719422671311,0.34044300173710923
7,3.27,0,Mouse,25,8.426149773176359,0.4190490912661385
21,2.336,0,Mouse,60,21.587033144922902,0.4433773781418883
18,2.583,0,Mouse,40,18.138357147217054,0.5394903048926267
27,1.329,0,Mouse,60,19.261360284258224,0.40165522634393114
11,1.713,0,Mouse,40,15.264337522473747,0.4663487991497137
3,2.837,0,Mouse,25,22.40535650240808,0.9231219887688349
16,1.444,0,Mouse,40,9.746794344808963,0.31460356220195695
12,1.739,0,Mouse,40,21.307275752662516,0.6160582985392749
6,1.539,0,Mouse,25,21.400934559032695,0.8922257680108284
10,1.964,0,Mouse,40,12.328828005937952,0.3876059476788723
24,2.654,0,Direct touch,60,16.61324772583615,0.35263137936433236
13,2.26,0,Mouse,40,19.949937343260004,0.5837582458060492
22,2.526,0,Mouse,60,21.118712081942874,0.43507224619918644
25,1.681,0,Mouse,60,9.219544457292887,0.20621694625219808
19,1.88,0,Mouse,60,12.328828005937952,0.2696082741435354
9,2.541,0,Mouse,25,17.944358444926362,0.7805405235983087
8,1.995,0,Mouse,25,17.26267650163207,0.7574560413717237
2,2.228,0,Mouse,25,4.358898943540674,0.23186976844090082
15,2.759,0,Mouse,40,17.663521732655695,0.5276589504485495
26,2.004,0,Mouse,60,16.941074346097416,0.35879147374006404
1,4.359,1,Direct touch,25,12.449899597988733,0.5830337559814993
5,1.042,0,Direct touch,25,12.922847983320086,0.6011392189565474
