test_nb,time,error_nb,method,W,D,Fitts
18,0.843,0,Direct touch,40,18.138357147217054,0.5394903048926267
23,1.253,0,Direct touch,60,9.695359714832659,0.21610010459416049
14,0.716,0,Direct touch,40,10.099504938362077,0.324796347402544
17,0.785,0,Direct touch,40,16.0312195418814,0.4862308937438483
6,0.848,0,Direct touch,25,21.400934559032695,0.8922257680108284
16,1.222,0,Direct touch,40,9.746794344808963,0.31460356220195695
10,0.952,0,Direct touch,40,12.328828005937952,0.3876059476788723
25,0.753,0,Direct touch,60,9.219544457292887,0.20621694625219808
26,0.688,0,Direct touch,60,16.941074346097416,0.35879147374006404
22,0.787,0,Direct touch,60,9.16515138991168,0.20508282354982305
5,1.467,0,Direct touch,25,12.922847983320086,0.6011392189565474
8,0.809,0,Direct touch,25,17.26267650163207,0.7574560413717237
12,0.982,0,Direct touch,40,21.307275752662516,0.6160582985392749
1,0.875,0,Direct touch,25,12.449899597988733,0.5830337559814993
24,0.893,0,Direct touch,60,16.61324772583615,0.35263137936433236
9,1,0,Direct touch,25,17.944358444926362,0.7805405235983087
21,0.663,0,Direct touch,60,21.587033144922902,0.4433773781418883
13,0.682,0,Direct touch,40,10.583005244258363,0.33865275313777676
27,0.714,0,Direct touch,60,19.261360284258224,0.40165522634393114
7,0.817,0,Direct touch,25,8.426149773176359,0.4190490912661385
2,0.947,0,Direct touch,25,4.358898943540674,0.23186976844090082
4,1.064,0,Direct touch,25,10.583005244258363,0.5092602669794973
20,0.897,0,Direct touch,60,15.968719422671311,0.34044300173710923
15,0.996,0,Direct touch,40,17.663521732655695,0.5276589504485495
19,0.951,0,Direct touch,60,12.328828005937952,0.2696082741435354
3,1.724,0,Direct touch,25,22.40535650240808,0.9231219887688349
11,0.835,0,Direct touch,40,15.264337522473747,0.4663487991497137
