test_nb,time,error_nb,method,W,D,Fitts
20,3.814,0,Mouse,60,15.968719422671311,0.34044300173710923
2,3.179,0,Mouse,25,4.358898943540674,0.23186976844090082
1,4.091,0,Mouse,25,12.449899597988733,0.5830337559814993
17,1.325,0,Direct touch,40,16.0312195418814,0.4862308937438483
18,0.958,0,Direct touch,40,18.138357147217054,0.5394903048926267
26,0.634,0,Direct touch,60,16.941074346097416,0.35879147374006404
24,1.127,0,Direct touch,60,16.61324772583615,0.35263137936433236
19,3.474,0,Mouse,60,12.328828005937952,0.2696082741435354
4,3.354,0,Mouse,25,20.346989949375804,0.859078695574669
16,2.695,0,Mouse,40,9.746794344808963,0.31460356220195695
10,2.851,0,Mouse,40,12.328828005937952,0.3876059476788723
15,2.732,0,Mouse,40,17.663521732655695,0.5276589504485495
13,3.133,1,Mouse,40,19.949937343260004,0.5837582458060492
7,1.871,0,Mouse,25,8.426149773176359,0.4190490912661385
6,3.576,0,Mouse,25,21.400934559032695,0.8922257680108284
23,1.081,0,Direct touch,60,9.695359714832659,0.21610010459416049
8,0.901,0,Direct touch,25,17.26267650163207,0.7574560413717237
12,1.209,0,Direct touch,40,21.307275752662516,0.6160582985392749
5,0.939,0,Direct touch,25,12.922847983320086,0.6011392189565474
25,1.053,0,Direct touch,60,9.219544457292887,0.20621694625219808
27,2.061,0,Mouse,60,19.261360284258224,0.40165522634393114
9,3.535,0,Mouse,25,17.944358444926362,0.7805405235983087
21,1.591,0,Mouse,60,21.587033144922902,0.4433773781418883
3,2.499,0,Mouse,25,22.40535650240808,0.9231219887688349
22,2.314,0,Mouse,60,21.118712081942874,0.43507224619918644
11,0.825,0,Direct touch,40,15.264337522473747,0.4663487991497137
14,0.698,0,Direct touch,40,10.099504938362077,0.324796347402544
