test_nb,time,error_nb,method,W,D,Fitts
19,5.795,0,Mouse,60,12.328828005937952,0.2696082741435354
21,2.821,0,Mouse,60,21.587033144922902,0.4433773781418883
5,0.872,0,Direct touch,25,12.922847983320086,0.6011392189565474
20,0.641,0,Direct touch,60,15.968719422671311,0.34044300173710923
13,0.775,0,Direct touch,40,19.949937343260004,0.5837582458060492
25,0.861,0,Direct touch,60,9.219544457292887,0.20621694625219808
8,0.818,0,Direct touch,25,17.26267650163207,0.7574560413717237
17,0.972,0,Direct touch,40,16.0312195418814,0.4862308937438483
11,3.131,0,Direct touch,40,15.264337522473747,0.4663487991497137
22,0.906,0,Direct touch,60,21.118712081942874,0.43507224619918644
12,1.016,0,Direct touch,40,21.307275752662516,0.6160582985392749
24,1.356,0,Direct touch,60,16.61324772583615,0.35263137936433236
14,0.797,0,Direct touch,40,10.099504938362077,0.324796347402544
9,1.058,0,Direct touch,25,17.944358444926362,0.7805405235983087
6,1.03,0,Direct touch,25,21.400934559032695,0.8922257680108284
23,0.638,0,Direct touch,60,9.695359714832659,0.21610010459416049
3,1.045,0,Direct touch,25,22.40535650240808,0.9231219887688349
10,1.037,0,Direct touch,40,12.328828005937952,0.3876059476788723
16,5.622,0,Mouse,40,9.746794344808963,0.31460356220195695
1,6.77,0,Mouse,25,12.449899597988733,0.5830337559814993
27,2.34,0,Mouse,60,19.261360284258224,0.40165522634393114
4,0.919,0,Direct touch,25,20.346989949375804,0.859078695574669
18,2.725,0,Mouse,40,18.138357147217054,0.5394903048926267
26,2.496,0,Mouse,60,16.941074346097416,0.35879147374006404
7,2.226,0,Mouse,25,8.426149773176359,0.4190490912661385
15,1.858,0,Direct touch,40,17.663521732655695,0.5276589504485495
2,1.538,0,Direct touch,25,4.358898943540674,0.23186976844090082
