test_nb,time,error_nb,method,W,D,Fitts
12,5.545,0,Mouse,40,21.307275752662516,0.6160582985392749
23,6.617,0,Mouse,60,9.695359714832659,0.21610010459416049
8,2.479,0,Direct touch,25,17.26267650163207,0.7574560413717237
10,6.339,0,Mouse,40,12.328828005937952,0.3876059476788723
1,5.242,0,Mouse,25,12.449899597988733,0.5830337559814993
22,1.541,0,Direct touch,60,21.118712081942874,0.43507224619918644
13,1.656,0,Direct touch,40,19.949937343260004,0.5837582458060492
7,2.159,0,Direct touch,25,8.426149773176359,0.4190490912661385
26,0.902,0,Direct touch,60,16.941074346097416,0.35879147374006404
27,1.891,0,Direct touch,60,19.261360284258224,0.40165522634393114
24,2.071,0,Direct touch,60,16.61324772583615,0.35263137936433236
4,3.329,0,Direct touch,25,20.346989949375804,0.859078695574669
5,1.053,0,Direct touch,25,12.922847983320086,0.6011392189565474
18,2.334,0,Direct touch,40,18.138357147217054,0.5394903048926267
3,1.204,0,Direct touch,25,22.40535650240808,0.9231219887688349
16,1.422,0,Direct touch,40,9.746794344808963,0.31460356220195695
9,2.42,0,Direct touch,25,17.944358444926362,0.7805405235983087
21,1.49,0,Direct touch,60,21.587033144922902,0.4433773781418883
2,4.492,0,Mouse,25,4.358898943540674,0.23186976844090082
20,0.901,0,Direct touch,60,15.968719422671311,0.34044300173710923
19,3.399,0,Mouse,60,12.328828005937952,0.2696082741435354
25,3.429,0,Mouse,60,9.219544457292887,0.20621694625219808
14,1.438,0,Direct touch,40,10.099504938362077,0.324796347402544
6,1.556,0,Direct touch,25,21.400934559032695,0.8922257680108284
15,2.251,0,Direct touch,40,17.663521732655695,0.5276589504485495
11,4.437,0,Direct touch,40,17.663521732655695,0.5276589504485495
17,3.184,0,Mouse,40,16.0312195418814,0.4862308937438483
