test_nb,time,error_nb,method,W,D,Fitts
2,4.353,0,Direct touch,25,4.358898943540674,0.23186976844090082
16,2.867,0,Mouse,40,9.746794344808963,0.31460356220195695
25,8.712,0,Mouse,60,9.219544457292887,0.20621694625219808
26,4.439,0,Direct touch,60,16.941074346097416,0.35879147374006404
14,2.266,0,Direct touch,40,10.099504938362077,0.324796347402544
4,1.227,0,Direct touch,25,20.346989949375804,0.859078695574669
3,1.193,0,Direct touch,25,22.40535650240808,0.9231219887688349
5,0.87,0,Direct touch,25,12.922847983320086,0.6011392189565474
6,2.215,0,Direct touch,25,21.400934559032695,0.8922257680108284
20,2.529,0,Direct touch,60,15.968719422671311,0.34044300173710923
27,1.584,0,Direct touch,60,19.261360284258224,0.40165522634393114
22,1.008,0,Direct touch,60,21.118712081942874,0.43507224619918644
13,1.214,0,Direct touch,40,19.949937343260004,0.5837582458060492
10,1.781,0,Direct touch,40,12.328828005937952,0.3876059476788723
18,1.154,0,Direct touch,40,18.138357147217054,0.5394903048926267
19,2.738,2,Direct touch,60,12.328828005937952,0.2696082741435354
8,2.051,0,Direct touch,25,17.26267650163207,0.7574560413717237
17,0.733,0,Direct touch,40,16.0312195418814,0.4862308937438483
23,0.756,0,Direct touch,60,9.695359714832659,0.21610010459416049
11,0.811,0,Direct touch,40,15.264337522473747,0.4663487991497137
24,1.435,0,Direct touch,60,16.61324772583615,0.35263137936433236
7,0.964,0,Direct touch,25,8.426149773176359,0.4190490912661385
12,0.771,0,Direct touch,40,21.307275752662516,0.6160582985392749
21,0.949,0,Direct touch,60,21.587033144922902,0.4433773781418883
15,0.966,0,Direct touch,40,17.663521732655695,0.5276589504485495
1,1.837,0,Direct touch,25,12.449899597988733,0.5830337559814993
9,1.096,0,Direct touch,25,17.944358444926362,0.7805405235983087
