test_nb,time,error_nb,method,W,D,Fitts
21,1.603,0,Direct touch,60,21.587033144922902,0.4433773781418883
15,2.585,0,Direct touch,40,17.663521732655695,0.5276589504485495
26,1.265,0,Direct touch,60,16.941074346097416,0.35879147374006404
24,1.147,0,Direct touch,60,16.61324772583615,0.35263137936433236
6,3.006,0,Direct touch,25,21.400934559032695,0.8922257680108284
17,1.413,0,Direct touch,40,16.0312195418814,0.4862308937438483
14,0.944,0,Direct touch,40,10.099504938362077,0.324796347402544
8,1.419,0,Direct touch,25,17.26267650163207,0.7574560413717237
11,1.128,0,Direct touch,40,15.264337522473747,0.4663487991497137
18,0.835,0,Direct touch,40,18.138357147217054,0.5394903048926267
25,1.815,0,Direct touch,60,9.219544457292887,0.20621694625219808
19,0.928,0,Direct touch,60,12.328828005937952,0.2696082741435354
3,1.584,1,Direct touch,25,22.40535650240808,0.9231219887688349
5,0.933,0,Direct touch,25,12.922847983320086,0.6011392189565474
23,0.916,0,Direct touch,60,9.695359714832659,0.21610010459416049
2,0.735,0,Direct touch,25,4.358898943540674,0.23186976844090082
9,1.246,0,Direct touch,25,17.944358444926362,0.7805405235983087
10,1.266,0,Direct touch,40,12.328828005937952,0.3876059476788723
27,0.815,0,Direct touch,60,19.261360284258224,0.40165522634393114
7,1.702,0,Direct touch,25,8.426149773176359,0.4190490912661385
1,0.818,0,Direct touch,25,12.449899597988733,0.5830337559814993
4,0.684,0,Direct touch,25,10.583005244258363,0.5092602669794973
12,1.17,0,Direct touch,40,21.307275752662516,0.6160582985392749
20,0.818,0,Direct touch,60,15.968719422671311,0.34044300173710923
13,0.731,0,Direct touch,40,10.583005244258363,0.33865275313777676
16,0.603,0,Direct touch,40,9.746794344808963,0.31460356220195695
22,0.582,0,Direct touch,60,9.16515138991168,0.20508282354982305
