test_nb,time,error_nb,method,W,D,Fitts
26,4.479,0,Mouse,60,12.922847983320086,0.281408405844836
2,3.719,0,Mouse,25,4.358898943540674,0.23186976844090082
20,1.864,0,Mouse,60,15.968719422671311,0.34044300173710923
8,3.685,0,Mouse,25,11.489125293076057,0.5455384725747235
1,3.85,0,Mouse,25,12.449899597988733,0.5830337559814993
5,4.11,0,Mouse,25,12.96148139681572,0.6026081978441127
13,3.977,0,Mouse,40,19.949937343260004,0.5837582458060492
10,2.062,0,Mouse,40,12.328828005937952,0.3876059476788723
25,2.939,0,Mouse,60,21.93171219946131,0.44945946369261547
6,2.791,0,Mouse,25,21.166010488516726,0.8849029700293253
27,1.832,0,Mouse,60,19.261360284258224,0.40165522634393114
21,2.48,0,Mouse,60,21.587033144922902,0.4433773781418883
12,2.11,0,Mouse,40,21.307275752662516,0.6160582985392749
23,2.168,0,Mouse,60,11.532562594670797,0.25363762508230914
18,1.635,0,Mouse,40,18.138357147217054,0.5394903048926267
22,2.57,0,Mouse,60,21.118712081942874,0.43507224619918644
24,1.701,0,Mouse,60,21.470910553583888,0.44132253173352864
19,1.963,0,Mouse,60,12.328828005937952,0.2696082741435354
4,2.486,0,Mouse,25,20.346989949375804,0.859078695574669
16,2.247,0,Mouse,40,22.181073012818835,0.6364755124158034
17,1.394,0,Mouse,40,13.341664064126334,0.41526283238068945
9,2.244,0,Mouse,25,17.944358444926362,0.7805405235983087
15,1.602,0,Mouse,40,21.166010488516726,0.6127301803402964
14,1.985,0,Mouse,40,12.569805089976535,0.3942343859228084
3,2.621,0,Mouse,25,22.40535650240808,0.9231219887688349
7,2.727,0,Mouse,25,22.181073012818835,0.916280134471476
11,2.739,0,Mouse,40,15.264337522473747,0.4663487991497137
