test_nb,time,error_nb,method,W,D,Fitts
1,1.675,0,Direct touch,25,12.449899597988733,0.5830337559814993
13,0.892,0,Direct touch,40,10.583005244258363,0.33865275313777676
20,0.809,0,Direct touch,60,15.968719422671311,0.34044300173710923
27,1.515,0,Direct touch,60,19.261360284258224,0.40165522634393114
24,0.968,0,Direct touch,60,21.470910553583888,0.44132253173352864
16,0.932,0,Direct touch,40,22.181073012818835,0.6364755124158034
12,0.966,0,Direct touch,40,21.307275752662516,0.6160582985392749
19,1.221,0,Direct touch,60,12.328828005937952,0.2696082741435354
9,1.222,0,Direct touch,25,17.944358444926362,0.7805405235983087
18,1.122,0,Direct touch,40,18.138357147217054,0.5394903048926267
4,0.878,0,Direct touch,25,10.583005244258363,0.5092602669794973
2,0.869,0,Direct touch,25,4.358898943540674,0.23186976844090082
5,1.044,0,Direct touch,25,12.96148139681572,0.6026081978441127
14,0.915,0,Direct touch,40,12.569805089976535,0.3942343859228084
7,0.977,0,Direct touch,25,22.181073012818835,0.916280134471476
10,1.254,0,Direct touch,40,12.328828005937952,0.3876059476788723
22,0.861,0,Direct touch,60,9.16515138991168,0.20508282354982305
17,1.004,0,Direct touch,40,13.341664064126334,0.41526283238068945
8,0.763,0,Direct touch,25,11.489125293076057,0.5455384725747235
3,0.905,0,Direct touch,25,22.40535650240808,0.9231219887688349
11,1.053,0,Direct touch,40,15.264337522473747,0.4663487991497137
21,0.823,0,Direct touch,60,21.587033144922902,0.4433773781418883
25,0.909,0,Direct touch,60,21.93171219946131,0.44945946369261547
26,0.706,0,Direct touch,60,12.922847983320086,0.281408405844836
6,1.172,0,Direct touch,25,21.166010488516726,0.8849029700293253
15,1.095,0,Direct touch,40,21.166010488516726,0.6127301803402964
23,0.993,0,Direct touch,60,11.532562594670797,0.25363762508230914
