test_nb,time,error_nb,method,W,D,Fitts
27,1.443,0,Mouse,60,19.261360284258224,0.40165522634393114
23,0.886,0,Direct touch,60,9.695359714832659,0.21610010459416049
17,1.771,0,Mouse,40,16.0312195418814,0.4862308937438483
25,1.524,0,Mouse,60,9.219544457292887,0.20621694625219808
24,0.876,0,Direct touch,60,16.61324772583615,0.35263137936433236
3,1.966,0,Mouse,25,22.40535650240808,0.9231219887688349
6,0.867,0,Direct touch,25,21.400934559032695,0.8922257680108284
15,0.785,0,Direct touch,40,17.663521732655695,0.5276589504485495
10,3.67,1,Mouse,40,12.328828005937952,0.3876059476788723
26,1.482,0,Mouse,60,16.941074346097416,0.35879147374006404
18,3.85,0,Mouse,40,18.138357147217054,0.5394903048926267
16,3.446,0,Mouse,40,9.746794344808963,0.31460356220195695
11,1.293,0,Mouse,40,15.264337522473747,0.4663487991497137
14,4.696,0,Direct touch,40,15.264337522473747,0.4663487991497137
5,0.923,0,Direct touch,25,12.922847983320086,0.6011392189565474
20,0.701,0,Direct touch,60,15.968719422671311,0.34044300173710923
8,2.822,0,Mouse,25,17.26267650163207,0.7574560413717237
4,1.603,0,Mouse,25,20.346989949375804,0.859078695574669
1,2.056,0,Mouse,25,12.449899597988733,0.5830337559814993
2,1.711,0,Mouse,25,4.358898943540674,0.23186976844090082
22,1.523,0,Mouse,60,21.118712081942874,0.43507224619918644
12,1.253,0,Mouse,40,21.307275752662516,0.6160582985392749
19,1.651,0,Mouse,60,12.328828005937952,0.2696082741435354
9,1.905,0,Mouse,25,17.944358444926362,0.7805405235983087
7,3.056,0,Mouse,25,8.426149773176359,0.4190490912661385
13,1.31,0,Mouse,40,19.949937343260004,0.5837582458060492
21,1.047,0,Mouse,60,21.587033144922902,0.4433773781418883
