test_nb,time,error_nb,method,W,D,Fitts
3,2.073,0,Direct touch,25,22.40535650240808,0.9231219887688349
7,0.986,0,Direct touch,25,8.426149773176359,0.4190490912661385
17,0.812,0,Direct touch,40,16.0312195418814,0.4862308937438483
12,0.884,0,Direct touch,40,21.307275752662516,0.6160582985392749
26,0.737,0,Direct touch,60,16.941074346097416,0.35879147374006404
15,0.851,0,Direct touch,40,17.663521732655695,0.5276589504485495
10,1.19,0,Direct touch,40,12.328828005937952,0.3876059476788723
9,0.856,0,Direct touch,25,17.944358444926362,0.7805405235983087
16,0.845,0,Direct touch,40,9.746794344808963,0.31460356220195695
2,0.869,0,Direct touch,25,4.358898943540674,0.23186976844090082
20,0.605,0,Direct touch,60,15.968719422671311,0.34044300173710923
1,1.387,0,Direct touch,25,12.449899597988733,0.5830337559814993
19,0.705,0,Direct touch,60,12.328828005937952,0.2696082741435354
5,2.101,0,Direct touch,25,12.922847983320086,0.6011392189565474
4,0.686,0,Direct touch,25,10.583005244258363,0.5092602669794973
24,0.805,0,Direct touch,60,16.61324772583615,0.35263137936433236
22,0.606,0,Direct touch,60,9.16515138991168,0.20508282354982305
11,0.818,0,Direct touch,40,15.264337522473747,0.4663487991497137
18,0.9,0,Direct touch,40,18.138357147217054,0.5394903048926267
14,0.926,0,Direct touch,40,10.099504938362077,0.324796347402544
25,0.755,0,Direct touch,60,9.219544457292887,0.20621694625219808
21,1.22,0,Direct touch,60,21.587033144922902,0.4433773781418883
8,0.802,0,Direct touch,25,17.26267650163207,0.7574560413717237
27,0.72,0,Direct touch,60,19.261360284258224,0.40165522634393114
13,0.693,0,Direct touch,40,10.583005244258363,0.33865275313777676
23,0.862,0,Direct touch,60,9.695359714832659,0.21610010459416049
6,0.742,0,Direct touch,25,21.400934559032695,0.8922257680108284
