test_nb,time,error_nb,method,W,D,Fitts
6,0.878,0,Direct touch,25,21.166010488516726,0.8849029700293253
27,2.202,0,Mouse,60,19.261360284258224,0.40165522634393114
4,0.998,0,Direct touch,25,20.346989949375804,0.859078695574669
14,0.829,0,Direct touch,40,12.569805089976535,0.3942343859228084
15,0.761,0,Direct touch,40,21.166010488516726,0.6127301803402964
8,0.869,0,Direct touch,25,11.489125293076057,0.5455384725747235
10,1.801,0,Mouse,40,12.328828005937952,0.3876059476788723
9,1.534,0,Mouse,25,17.944358444926362,0.7805405235983087
26,0.594,0,Direct touch,60,12.922847983320086,0.281408405844836
11,0.66,0,Direct touch,40,15.264337522473747,0.4663487991497137
17,0.662,0,Direct touch,40,13.341664064126334,0.41526283238068945
1,4.09,0,Mouse,25,12.449899597988733,0.5830337559814993
2,0.745,0,Direct touch,25,4.358898943540674,0.23186976844090082
25,1.228,0,Mouse,60,21.93171219946131,0.44945946369261547
22,0.863,0,Direct touch,60,21.118712081942874,0.43507224619918644
12,1.732,0,Mouse,40,21.307275752662516,0.6160582985392749
5,0.743,0,Direct touch,25,12.96148139681572,0.6026081978441127
3,2.385,0,Mouse,25,22.40535650240808,0.9231219887688349
20,0.608,0,Direct touch,60,15.968719422671311,0.34044300173710923
13,0.96,0,Mouse,40,19.949937343260004,0.5837582458060492
21,2.9,0,Mouse,60,21.587033144922902,0.4433773781418883
23,0.576,0,Direct touch,60,11.532562594670797,0.25363762508230914
19,1.954,0,Mouse,60,12.328828005937952,0.2696082741435354
24,0.825,0,Direct touch,60,21.470910553583888,0.44132253173352864
16,3.701,0,Direct touch,40,22.181073012818835,0.6364755124158034
18,2.565,1,Mouse,40,18.138357147217054,0.5394903048926267
7,1.327,0,Mouse,25,22.181073012818835,0.916280134471476
