test_nb,time,error_nb,method,W,D,Fitts
6,12.978,0,Direct touch,25,21.400934559032695,0.8922257680108284
8,11.316,0,Mouse,25,17.26267650163207,0.7574560413717237
21,5.615,0,Mouse,60,21.587033144922902,0.4433773781418883
23,7.106,0,Mouse,60,9.695359714832659,0.21610010459416049
14,7.697,0,Mouse,40,10.099504938362077,0.324796347402544
15,3.522,0,Mouse,40,17.663521732655695,0.5276589504485495
12,4.816,0,Mouse,40,21.307275752662516,0.6160582985392749
10,5.245,0,Mouse,40,12.328828005937952,0.3876059476788723
24,3.64,0,Mouse,60,16.61324772583615,0.35263137936433236
18,3.889,0,Mouse,40,18.138357147217054,0.5394903048926267
11,3.399,0,Mouse,40,15.264337522473747,0.4663487991497137
2,5.138,0,Mouse,25,4.358898943540674,0.23186976844090082
22,3.763,0,Mouse,60,21.118712081942874,0.43507224619918644
7,4.618,0,Mouse,25,8.426149773176359,0.4190490912661385
4,2.591,0,Mouse,25,20.346989949375804,0.859078695574669
26,2.37,0,Mouse,60,16.941074346097416,0.35879147374006404
13,1.727,0,Mouse,40,19.949937343260004,0.5837582458060492
20,2.416,0,Mouse,60,15.968719422671311,0.34044300173710923
3,2.63,0,Mouse,25,22.40535650240808,0.9231219887688349
1,4.527,0,Mouse,25,12.449899597988733,0.5830337559814993
17,2.222,0,Mouse,40,16.0312195418814,0.4862308937438483
9,3.902,0,Mouse,25,17.944358444926362,0.7805405235983087
19,1.897,0,Mouse,60,12.328828005937952,0.2696082741435354
5,3.696,0,Mouse,25,12.922847983320086,0.6011392189565474
27,3.054,0,Mouse,60,19.261360284258224,0.40165522634393114
16,4.713,0,Mouse,40,9.746794344808963,0.31460356220195695
25,3.528,0,Mouse,60,9.219544457292887,0.20621694625219808
