test_nb,time,error_nb,method,W,D,Fitts
3,5.25,0,Direct touch,25,22.40535650240808,0.9231219887688349
17,0.866,0,Direct touch,40,16.0312195418814,0.4862308937438483
10,0.975,0,Direct touch,40,12.328828005937952,0.3876059476788723
21,0.76,0,Direct touch,60,21.587033144922902,0.4433773781418883
9,0.735,0,Direct touch,25,17.944358444926362,0.7805405235983087
14,0.753,0,Direct touch,40,10.099504938362077,0.324796347402544
22,0.727,0,Direct touch,60,9.16515138991168,0.20508282354982305
26,0.614,0,Direct touch,60,16.941074346097416,0.35879147374006404
8,0.632,0,Direct touch,25,17.26267650163207,0.7574560413717237
15,1.117,0,Direct touch,40,17.663521732655695,0.5276589504485495
13,1.137,0,Direct touch,40,10.583005244258363,0.33865275313777676
23,0.69,0,Direct touch,60,9.695359714832659,0.21610010459416049
24,0.783,0,Direct touch,60,16.61324772583615,0.35263137936433236
7,1.785,0,Direct touch,25,8.426149773176359,0.4190490912661385
27,1.044,0,Direct touch,60,19.261360284258224,0.40165522634393114
6,0.87,0,Direct touch,25,21.400934559032695,0.8922257680108284
20,1.104,0,Direct touch,60,15.968719422671311,0.34044300173710923
25,1.115,0,Direct touch,60,9.219544457292887,0.20621694625219808
12,0.992,0,Direct touch,40,21.307275752662516,0.6160582985392749
2,0.852,0,Direct touch,25,4.358898943540674,0.23186976844090082
11,3.258,0,Direct touch,25,4.358898943540674,0.23186976844090082
19,1.333,0,Direct touch,60,12.328828005937952,0.2696082741435354
4,0.879,0,Direct touch,25,10.583005244258363,0.5092602669794973
16,1.001,0,Direct touch,40,9.746794344808963,0.31460356220195695
18,0.73,0,Direct touch,40,18.138357147217054,0.5394903048926267
5,1.675,0,Direct touch,25,12.922847983320086,0.6011392189565474
1,1.566,0,Direct touch,25,12.449899597988733,0.5830337559814993
