test_nb,time,error_nb,method,W,D,Fitts
6,10.151,0,Direct touch,25,21.166010488516726,0.8849029700293253
21,3.039,0,Mouse,60,21.587033144922902,0.4433773781418883
10,3.862,0,Mouse,40,12.328828005937952,0.3876059476788723
16,1.02,0,Direct touch,40,22.181073012818835,0.6364755124158034
1,2.912,0,Mouse,25,12.449899597988733,0.5830337559814993
5,2.814,0,Direct touch,25,12.96148139681572,0.6026081978441127
7,3.33,0,Mouse,25,22.181073012818835,0.916280134471476
13,1.86,0,Mouse,40,19.949937343260004,0.5837582458060492
25,1.994,0,Mouse,60,21.93171219946131,0.44945946369261547
12,2.132,0,Mouse,40,21.307275752662516,0.6160582985392749
8,1.916,0,Mouse,25,11.489125293076057,0.5455384725747235
18,1.999,0,Mouse,40,18.138357147217054,0.5394903048926267
2,2.369,0,Direct touch,25,4.358898943540674,0.23186976844090082
15,2.03,0,Mouse,40,21.166010488516726,0.6127301803402964
9,2.127,0,Mouse,25,17.944358444926362,0.7805405235983087
3,2.183,0,Mouse,25,22.40535650240808,0.9231219887688349
20,1.719,0,Direct touch,60,15.968719422671311,0.34044300173710923
23,2.187,0,Direct touch,60,11.532562594670797,0.25363762508230914
11,0.843,0,Direct touch,40,15.264337522473747,0.4663487991497137
17,0.751,0,Direct touch,40,13.341664064126334,0.41526283238068945
14,0.762,0,Direct touch,40,12.569805089976535,0.3942343859228084
4,1.832,0,Mouse,25,20.346989949375804,0.859078695574669
26,1.198,0,Mouse,60,12.922847983320086,0.281408405844836
27,1.499,0,Mouse,60,19.261360284258224,0.40165522634393114
22,2.299,0,Mouse,60,21.118712081942874,0.43507224619918644
19,3.386,1,Mouse,60,12.328828005937952,0.2696082741435354
24,2.7,0,Mouse,60,21.470910553583888,0.44132253173352864
