test_nb,time,error_nb,method,W,D,Fitts
5,4.493,0,Direct touch,25,12.96148139681572,0.6026081978441127
17,0.762,0,Direct touch,40,13.341664064126334,0.41526283238068945
11,0.792,0,Direct touch,40,15.264337522473747,0.4663487991497137
12,3.29,0,Mouse,40,21.307275752662516,0.6160582985392749
6,5.196,0,Mouse,25,21.166010488516726,0.8849029700293253
20,1.997,0,Mouse,60,15.968719422671311,0.34044300173710923
24,2.653,0,Mouse,60,21.470910553583888,0.44132253173352864
9,2.363,0,Mouse,25,17.944358444926362,0.7805405235983087
22,1.713,0,Mouse,60,21.118712081942874,0.43507224619918644
26,2.041,0,Mouse,60,12.922847983320086,0.281408405844836
4,1.256,0,Direct touch,25,20.346989949375804,0.859078695574669
8,2.671,0,Mouse,25,11.489125293076057,0.5455384725747235
25,2.675,0,Mouse,60,21.93171219946131,0.44945946369261547
16,1.299,0,Mouse,40,22.181073012818835,0.6364755124158034
18,2.768,0,Mouse,40,18.138357147217054,0.5394903048926267
13,2.239,0,Mouse,40,19.949937343260004,0.5837582458060492
3,2.608,0,Mouse,25,22.40535650240808,0.9231219887688349
14,3.337,0,Mouse,40,12.569805089976535,0.3942343859228084
15,2.919,0,Mouse,40,21.166010488516726,0.6127301803402964
1,3.824,0,Mouse,25,12.449899597988733,0.5830337559814993
2,3.131,0,Direct touch,25,4.358898943540674,0.23186976844090082
10,2.254,0,Mouse,40,12.328828005937952,0.3876059476788723
19,1.768,0,Mouse,60,12.328828005937952,0.2696082741435354
7,2.152,0,Mouse,25,22.181073012818835,0.916280134471476
21,2.739,0,Mouse,60,21.587033144922902,0.4433773781418883
27,1.956,0,Mouse,60,19.261360284258224,0.40165522634393114
23,1.289,0,Direct touch,60,11.532562594670797,0.25363762508230914
